"RG","TG"
"PIK3R3_PIK3R1","PIK3R3","PIK3R1"
"P3R3URF.PIK3R3_PIK3R1","P3R3URF.PIK3R3","PIK3R1"
"AKT2_PIK3R1","AKT2","PIK3R1"
"AKT3_PIK3R1","AKT3","PIK3R1"
"CHUK_PIK3R1","CHUK","PIK3R1"
"IKBKB_PIK3R1","IKBKB","PIK3R1"
"NFKB1_PIK3R1","NFKB1","PIK3R1"
"RELA_PIK3R1","RELA","PIK3R1"
"BAD_PIK3R1","BAD","PIK3R1"
"EIF4EBP1_PIK3R1","EIF4EBP1","PIK3R1"
"RPS6KB1_PIK3R1","RPS6KB1","PIK3R1"
"GRB2_PIK3R1","GRB2","PIK3R1"
"SOS1_PIK3R1","SOS1","PIK3R1"
"SOS2_PIK3R1","SOS2","PIK3R1"
"HRAS_PIK3R1","HRAS","PIK3R1"
"BRAF_PIK3R1","BRAF","PIK3R1"
"RAF1_PIK3R1","RAF1","PIK3R1"
"MAP2K1_PIK3R1","MAP2K1","PIK3R1"
"MAP2K2_PIK3R1","MAP2K2","PIK3R1"
"MAPK3_PIK3R1","MAPK3","PIK3R1"
"STAT3_PIK3R1","STAT3","PIK3R1"
"STAT5A_PIK3R1","STAT5A","PIK3R1"
"PIM1_PIK3R1","PIM1","PIK3R1"
"PIM2_PIK3R1","PIM2","PIK3R1"
"CSF1R_PIK3R1","CSF1R","PIK3R1"
"MPO_PIK3R1","MPO","PIK3R1"
"CSF2_PIK3R1","CSF2","PIK3R1"
"IL3_PIK3R1","IL3","PIK3R1"
"RUNX1T1_PIK3R1","RUNX1T1","PIK3R1"
"PML_PIK3R1","PML","PIK3R1"
"RARA_PIK3R1","RARA","PIK3R1"
"ZBTB16_PIK3R1","ZBTB16","PIK3R1"
"PER2_PIK3R1","PER2","PIK3R1"
"CD14_PIK3R1","CD14","PIK3R1"
"ITGAM_PIK3R1","ITGAM","PIK3R1"
"CCNA1_PIK3R1","CCNA1","PIK3R1"
"MYC_PIK3R1","MYC","PIK3R1"
"DUSP6_PIK3R1","DUSP6","PIK3R1"
"JUP_PIK3R1","JUP","PIK3R1"
"TCF7_PIK3R1","TCF7","PIK3R1"
"TCF7L1_PIK3R1","TCF7L1","PIK3R1"
"TCF7L2_PIK3R1","TCF7L2","PIK3R1"
"LEF1_PIK3R1","LEF1","PIK3R1"
"CCND1_PIK3R1","CCND1","PIK3R1"
"PPARD_PIK3R1","PPARD","PIK3R1"
"FLT3_PIK3R2","FLT3","PIK3R2"
"PIK3CA_PIK3R2","PIK3CA","PIK3R2"
"PIK3CD_PIK3R2","PIK3CD","PIK3R2"
"PIK3CB_PIK3R2","PIK3CB","PIK3R2"
"PIK3R1_PIK3R2","PIK3R1","PIK3R2"
