"RG","TG"
"VAV1_MTOR","VAV1","MTOR"
"TGFBR2_MTOR","TGFBR2","MTOR"
"COL8A1_MTOR","COL8A1","MTOR"
"EPCAM_MTOR","EPCAM","MTOR"
"MAPK1_PIK3R3","MAPK1","PIK3R3"
"MAP2K1_PIK3R3","MAP2K1","PIK3R3"
"PIK3R1_PIK3R3","PIK3R1","PIK3R3"
"MTOR_PIK3R3","MTOR","PIK3R3"
"JUP_PIK3R3","JUP","PIK3R3"
"RUNX1T1_PIK3R3","RUNX1T1","PIK3R3"
"CHUK_PIK3R3","CHUK","PIK3R3"
"MYC_PIK3R3","MYC","PIK3R3"
"FCGR1A_PIK3R3","FCGR1A","PIK3R3"
"ITGAM_PIK3R3","ITGAM","PIK3R3"
"TCF7L2_PIK3R3","TCF7L2","PIK3R3"
"AKT3_PIK3R3","AKT3","PIK3R3"
"LEF1_PIK3R3","LEF1","PIK3R3"
"CD14_PIK3R3","CD14","PIK3R3"
"CSF1R_PIK3R3","CSF1R","PIK3R3"
"CCNA1_PIK3R3","CCNA1","PIK3R3"
"KIT_PIK3R3","KIT","PIK3R3"
"DUSP6_PIK3R3","DUSP6","PIK3R3"
"RPS6KB2_PIK3R3","RPS6KB2","PIK3R3"
"ZBTB16_PIK3R3","ZBTB16","PIK3R3"
"MAP2K2_PIK3R3","MAP2K2","PIK3R3"
"SPI1_PIK3R3","SPI1","PIK3R3"
"P3R3URF.PIK3R3_PIK3R3","P3R3URF.PIK3R3","PIK3R3"
"CEBPE_PIK3R3","CEBPE","PIK3R3"
"BRAF_PIK3R3","BRAF","PIK3R3"
"CCND1_PIK3R3","CCND1","PIK3R3"
"PIK3CA_PIK3R3","PIK3CA","PIK3R3"
"PIK3CD_PIK3R3","PIK3CD","PIK3R3"
"PPARD_PIK3R3","PPARD","PIK3R3"
"RARA_PIK3R3","RARA","PIK3R3"
"NFKB1_PIK3R3","NFKB1","PIK3R3"
"PIM1_PIK3R3","PIM1","PIK3R3"
"MPO_PIK3R3","MPO","PIK3R3"
"STAT5B_PIK3R3","STAT5B","PIK3R3"
"EIF4EBP1_PIK3R3","EIF4EBP1","PIK3R3"
"GRB2_PIK3R3","GRB2","PIK3R3"
"IKBKB_PIK3R3","IKBKB","PIK3R3"
"IKBKG_PIK3R3","IKBKG","PIK3R3"
"AKT2_PIK3R3","AKT2","PIK3R3"
"STAT5A_PIK3R3","STAT5A","PIK3R3"
"HTRA1_PIK3R3","HTRA1","PIK3R3"
"DCBLD2_PIK3R3","DCBLD2","PIK3R3"
"ANXA2_PIK3R3","ANXA2","PIK3R3"
"F2RL1_PIK3R3","F2RL1","PIK3R3"
"BAK1_PIK3R3","BAK1","PIK3R3"
"MYH14_PIK3R3","MYH14","PIK3R3"
"COL4A1_PIK3R3","COL4A1","PIK3R3"
"ANO1_PIK3R3","ANO1","PIK3R3"
"GP1BA_PIK3R3","GP1BA","PIK3R3"
"TMEM98_PIK3R3","TMEM98","PIK3R3"
"VAV1_PIK3R3","VAV1","PIK3R3"
"TGFBR2_PIK3R3","TGFBR2","PIK3R3"
"COL8A1_PIK3R3","COL8A1","PIK3R3"
"EPCAM_PIK3R3","EPCAM","PIK3R3"
"RELA_JUP","RELA","JUP"
"MAPK1_JUP","MAPK1","JUP"
"PIK3R1_JUP","PIK3R1","JUP"
"MTOR_JUP","MTOR","JUP"
"PIK3R3_JUP","PIK3R3","JUP"
"RUNX1T1_JUP","RUNX1T1","JUP"
"PIK3R2_JUP","PIK3R2","JUP"
"CHUK_JUP","CHUK","JUP"
"PIK3CB_JUP","PIK3CB","JUP"
"MYC_JUP","MYC","JUP"
"FCGR1A_JUP","FCGR1A","JUP"
"ITGAM_JUP","ITGAM","JUP"
"TCF7L2_JUP","TCF7L2","JUP"
"LEF1_JUP","LEF1","JUP"
"CD14_JUP","CD14","JUP"
"CSF1R_JUP","CSF1R","JUP"
"CCNA1_JUP","CCNA1","JUP"
"KIT_JUP","KIT","JUP"
"DUSP6_JUP","DUSP6","JUP"
"RPS6KB2_JUP","RPS6KB2","JUP"
"ZBTB16_JUP","ZBTB16","JUP"
"SPI1_JUP","SPI1","JUP"
"P3R3URF.PIK3R3_JUP","P3R3URF.PIK3R3","JUP"
"SOS2_JUP","SOS2","JUP"
"CEBPE_JUP","CEBPE","JUP"
"BRAF_JUP","BRAF","JUP"
"CCND1_JUP","CCND1","JUP"
"PIK3CA_JUP","PIK3CA","JUP"
"PIK3CD_JUP","PIK3CD","JUP"
"PPARD_JUP","PPARD","JUP"
"RARA_JUP","RARA","JUP"
"NFKB1_JUP","NFKB1","JUP"
"MPO_JUP","MPO","JUP"
"STAT5B_JUP","STAT5B","JUP"
"EIF4EBP1_JUP","EIF4EBP1","JUP"
"GRB2_JUP","GRB2","JUP"
"IKBKB_JUP","IKBKB","JUP"
"IKBKG_JUP","IKBKG","JUP"
"AKT2_JUP","AKT2","JUP"
"STAT5A_JUP","STAT5A","JUP"
"DCBLD2_JUP","DCBLD2","JUP"
"IFITM3_JUP","IFITM3","JUP"
"ANXA2_JUP","ANXA2","JUP"
"F2RL1_JUP","F2RL1","JUP"
"BAK1_JUP","BAK1","JUP"
"MYH14_JUP","MYH14","JUP"
"COL4A1_JUP","COL4A1","JUP"
"ANO1_JUP","ANO1","JUP"
"GP1BA_JUP","GP1BA","JUP"
"VAV1_JUP","VAV1","JUP"
"TGFBR2_JUP","TGFBR2","JUP"
"COL8A1_JUP","COL8A1","JUP"
"EPCAM_JUP","EPCAM","JUP"
"RELA_RUNX1T1","RELA","RUNX1T1"
"MAPK1_RUNX1T1","MAPK1","RUNX1T1"
"CCNA2_RUNX1T1","CCNA2","RUNX1T1"
"PIK3R1_RUNX1T1","PIK3R1","RUNX1T1"
"MTOR_RUNX1T1","MTOR","RUNX1T1"
"JUP_RUNX1T1","JUP","RUNX1T1"
"CHUK_RUNX1T1","CHUK","RUNX1T1"
"PIK3CB_RUNX1T1","PIK3CB","RUNX1T1"
"MYC_RUNX1T1","MYC","RUNX1T1"
"FCGR1A_RUNX1T1","FCGR1A","RUNX1T1"
"FLT3_RUNX1T1","FLT3","RUNX1T1"
"ITGAM_RUNX1T1","ITGAM","RUNX1T1"
"TCF7L2_RUNX1T1","TCF7L2","RUNX1T1"
"LEF1_RUNX1T1","LEF1","RUNX1T1"
"CD14_RUNX1T1","CD14","RUNX1T1"
"CCNA1_RUNX1T1","CCNA1","RUNX1T1"
"RPS6KB2_RUNX1T1","RPS6KB2","RUNX1T1"
"ZBTB16_RUNX1T1","ZBTB16","RUNX1T1"
"MAP2K2_RUNX1T1","MAP2K2","RUNX1T1"
"SPI1_RUNX1T1","SPI1","RUNX1T1"
"P3R3URF.PIK3R3_RUNX1T1","P3R3URF.PIK3R3","RUNX1T1"
"SOS2_RUNX1T1","SOS2","RUNX1T1"
"CEBPE_RUNX1T1","CEBPE","RUNX1T1"
"BRAF_RUNX1T1","BRAF","RUNX1T1"
"CCND1_RUNX1T1","CCND1","RUNX1T1"
"PIK3CD_RUNX1T1","PIK3CD","RUNX1T1"
"PPARD_RUNX1T1","PPARD","RUNX1T1"
"NFKB1_RUNX1T1","NFKB1","RUNX1T1"
"MPO_RUNX1T1","MPO","RUNX1T1"
"STAT5B_RUNX1T1","STAT5B","RUNX1T1"
"EIF4EBP1_RUNX1T1","EIF4EBP1","RUNX1T1"
"GRB2_RUNX1T1","GRB2","RUNX1T1"
"IKBKB_RUNX1T1","IKBKB","RUNX1T1"
"IKBKG_RUNX1T1","IKBKG","RUNX1T1"
"AKT2_RUNX1T1","AKT2","RUNX1T1"
"STAT5A_RUNX1T1","STAT5A","RUNX1T1"
"DCBLD2_RUNX1T1","DCBLD2","RUNX1T1"
"IFITM3_RUNX1T1","IFITM3","RUNX1T1"
"ANXA2_RUNX1T1","ANXA2","RUNX1T1"
"BAK1_RUNX1T1","BAK1","RUNX1T1"
"MYH14_RUNX1T1","MYH14","RUNX1T1"
"ANO1_RUNX1T1","ANO1","RUNX1T1"
"GP1BA_RUNX1T1","GP1BA","RUNX1T1"
"TMEM98_RUNX1T1","TMEM98","RUNX1T1"
"TMC6_RUNX1T1","TMC6","RUNX1T1"
"VAV1_RUNX1T1","VAV1","RUNX1T1"
"COL8A1_RUNX1T1","COL8A1","RUNX1T1"
"EPCAM_RUNX1T1","EPCAM","RUNX1T1"
"RELA_PIK3R2","RELA","PIK3R2"
"MAPK1_PIK3R2","MAPK1","PIK3R2"
"MAP2K1_PIK3R2","MAP2K1","PIK3R2"
"PIK3R1_PIK3R2","PIK3R1","PIK3R2"
"MTOR_PIK3R2","MTOR","PIK3R2"
"PIK3R3_PIK3R2","PIK3R3","PIK3R2"
"JUP_PIK3R2","JUP","PIK3R2"
"RUNX1T1_PIK3R2","RUNX1T1","PIK3R2"
"CHUK_PIK3R2","CHUK","PIK3R2"
"FCGR1A_PIK3R2","FCGR1A","PIK3R2"
"FLT3_PIK3R2","FLT3","PIK3R2"
"ITGAM_PIK3R2","ITGAM","PIK3R2"
"TCF7L2_PIK3R2","TCF7L2","PIK3R2"
"AKT3_PIK3R2","AKT3","PIK3R2"
"CD14_PIK3R2","CD14","PIK3R2"
"CSF1R_PIK3R2","CSF1R","PIK3R2"
"CCNA1_PIK3R2","CCNA1","PIK3R2"
"KIT_PIK3R2","KIT","PIK3R2"
"DUSP6_PIK3R2","DUSP6","PIK3R2"
"RPS6KB2_PIK3R2","RPS6KB2","PIK3R2"
"ZBTB16_PIK3R2","ZBTB16","PIK3R2"
"MAP2K2_PIK3R2","MAP2K2","PIK3R2"
"SPI1_PIK3R2","SPI1","PIK3R2"
"P3R3URF.PIK3R3_PIK3R2","P3R3URF.PIK3R3","PIK3R2"
"SOS2_PIK3R2","SOS2","PIK3R2"
"CEBPE_PIK3R2","CEBPE","PIK3R2"
"BRAF_PIK3R2","BRAF","PIK3R2"
"CCND1_PIK3R2","CCND1","PIK3R2"
"PIK3CA_PIK3R2","PIK3CA","PIK3R2"
"PIK3CD_PIK3R2","PIK3CD","PIK3R2"
"PPARD_PIK3R2","PPARD","PIK3R2"
"RARA_PIK3R2","RARA","PIK3R2"
"PIM2_PIK3R2","PIM2","PIK3R2"
"NFKB1_PIK3R2","NFKB1","PIK3R2"
"MPO_PIK3R2","MPO","PIK3R2"
"STAT5B_PIK3R2","STAT5B","PIK3R2"
"EIF4EBP1_PIK3R2","EIF4EBP1","PIK3R2"
"GRB2_PIK3R2","GRB2","PIK3R2"
"IKBKB_PIK3R2","IKBKB","PIK3R2"
"IKBKG_PIK3R2","IKBKG","PIK3R2"
"AKT2_PIK3R2","AKT2","PIK3R2"
"STAT5A_PIK3R2","STAT5A","PIK3R2"
"DCBLD2_PIK3R2","DCBLD2","PIK3R2"
"IFITM3_PIK3R2","IFITM3","PIK3R2"
"ANXA2_PIK3R2","ANXA2","PIK3R2"
"F2RL1_PIK3R2","F2RL1","PIK3R2"
"BAK1_PIK3R2","BAK1","PIK3R2"
"COL4A1_PIK3R2","COL4A1","PIK3R2"
"ANO1_PIK3R2","ANO1","PIK3R2"
"GP1BA_PIK3R2","GP1BA","PIK3R2"
"TMEM98_PIK3R2","TMEM98","PIK3R2"
"VAV1_PIK3R2","VAV1","PIK3R2"
"TGFBR2_PIK3R2","TGFBR2","PIK3R2"
"COL8A1_PIK3R2","COL8A1","PIK3R2"
"RELA_CHUK","RELA","CHUK"
"CCNA2_CHUK","CCNA2","CHUK"
"MAP2K1_CHUK","MAP2K1","CHUK"
"PIK3R1_CHUK","PIK3R1","CHUK"
"MTOR_CHUK","MTOR","CHUK"
"PIK3R3_CHUK","PIK3R3","CHUK"
"RUNX1T1_CHUK","RUNX1T1","CHUK"
"PIK3CB_CHUK","PIK3CB","CHUK"
"MYC_CHUK","MYC","CHUK"
"FLT3_CHUK","FLT3","CHUK"
"ITGAM_CHUK","ITGAM","CHUK"
"TCF7L2_CHUK","TCF7L2","CHUK"
"AKT3_CHUK","AKT3","CHUK"
"CD14_CHUK","CD14","CHUK"
"CCNA1_CHUK","CCNA1","CHUK"
"KIT_CHUK","KIT","CHUK"
"DUSP6_CHUK","DUSP6","CHUK"
"RPS6KB2_CHUK","RPS6KB2","CHUK"
"ZBTB16_CHUK","ZBTB16","CHUK"
"MAP2K2_CHUK","MAP2K2","CHUK"
"SPI1_CHUK","SPI1","CHUK"
"P3R3URF.PIK3R3_CHUK","P3R3URF.PIK3R3","CHUK"
"CEBPE_CHUK","CEBPE","CHUK"
"BRAF_CHUK","BRAF","CHUK"
"CCND1_CHUK","CCND1","CHUK"
"RARA_CHUK","RARA","CHUK"
"PIM2_CHUK","PIM2","CHUK"
"NFKB1_CHUK","NFKB1","CHUK"
"PIM1_CHUK","PIM1","CHUK"
"MPO_CHUK","MPO","CHUK"
"EIF4EBP1_CHUK","EIF4EBP1","CHUK"
"GRB2_CHUK","GRB2","CHUK"
"IKBKB_CHUK","IKBKB","CHUK"
"IKBKG_CHUK","IKBKG","CHUK"
"AKT2_CHUK","AKT2","CHUK"
"HTRA1_CHUK","HTRA1","CHUK"
"ANXA2_CHUK","ANXA2","CHUK"
"F2RL1_CHUK","F2RL1","CHUK"
"BAK1_CHUK","BAK1","CHUK"
"MYH14_CHUK","MYH14","CHUK"
"COL4A1_CHUK","COL4A1","CHUK"
"TMEM98_CHUK","TMEM98","CHUK"
"TMC6_CHUK","TMC6","CHUK"
"TGFBR2_CHUK","TGFBR2","CHUK"
"PIK3R1_PIK3CB","PIK3R1","PIK3CB"
"MTOR_PIK3CB","MTOR","PIK3CB"
"PIK3R3_PIK3CB","PIK3R3","PIK3CB"
"RUNX1T1_PIK3CB","RUNX1T1","PIK3CB"
"ITGAM_PIK3CB","ITGAM","PIK3CB"
"ZBTB16_PIK3CB","ZBTB16","PIK3CB"
"MAP2K2_PIK3CB","MAP2K2","PIK3CB"
"PIK3CD_PIK3CB","PIK3CD","PIK3CB"
"PIM1_PIK3CB","PIM1","PIK3CB"
"MPO_PIK3CB","MPO","PIK3CB"
"EIF4EBP1_PIK3CB","EIF4EBP1","PIK3CB"
"IKBKB_PIK3CB","IKBKB","PIK3CB"
